Price,Address,Beds,Baths,Type,Link
"$1,249,000","#2607 -1928 LAKESHORE BLVD W, Toronto, ON",2,3,Condo,https://www.remax.ca/on/toronto-real-estate/2607-1928-lakeshore-blvd-w-wp_idm73000004-26874306-lst
"$1,388,000","165 PERTH AVE, Toronto, ON",5,4,House,https://www.remax.ca/on/toronto-real-estate/165-perth-ave-wp_idm73000004-26874302-lst
"$2,199,888","152 DOWLING AVE, Toronto, ON",5,4,House,https://www.remax.ca/on/toronto-real-estate/152-dowling-ave-wp_idm73000004-26874308-lst
"$819,900","#115 -251 MANITOBA ST, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/115-251-manitoba-st-wp_idm73000004-26874295-lst
"$3,300","#3 -67 OAKMOUNT RD, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/3-67-oakmount-rd-wp_idm73000004-26874296-lst
"$1,265,900","26B LOBO MEWS, Toronto, ON",3,2,House,https://www.remax.ca/on/toronto-real-estate/26b-lobo-mews-wp_idm73000004-26874281-lst
"$1,598,000","1 WINSLOW ST, Toronto, ON",3,3,House,https://www.remax.ca/on/toronto-real-estate/1-winslow-st-wp_idm73000004-26874262-lst
"$1,949,000","30 BARFIELD AVE, Toronto, ON",4,4,House,https://www.remax.ca/on/toronto-real-estate/30-barfield-ave-wp_idm73000004-26874142-lst
"$1,125,000","18 AYLESFORD DR, Toronto, ON",4,3,House,https://www.remax.ca/on/toronto-real-estate/18-aylesford-dr-wp_idm73000004-26874154-lst
"$699,000","#2903 -2181 YONGE ST, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/2903-2181-yonge-st-wp_idm73000004-26874102-lst
"$629,999","#1005 -101 ERSKINE AVE, Toronto, ON",2,1,Condo,https://www.remax.ca/on/toronto-real-estate/1005-101-erskine-ave-wp_idm73000004-26874112-lst
"$499,000","#702 -1665 VICTORIA PARK AVE, Toronto, ON",3,1,Condo,https://www.remax.ca/on/toronto-real-estate/702-1665-victoria-park-ave-wp_idm73000004-26874137-lst
