Price,Distance,Beds,Baths,Type,Address
1249000,10.455,2,3,Condo,"#2607 -1928 LAKESHORE BLVD W, Toronto, ON"
1388000,12.455,5,4,House,"165 PERTH AVE, Toronto, ON"
2199888,8.602,5,4,House,"152 DOWLING AVE, Toronto, ON"
819900,13.332,2,2,Condo,"#115 -251 MANITOBA ST, Toronto, ON"
3300,11.986,2,2,Condo,"#3 -67 OAKMOUNT RD, Toronto, ON"
1265900,17.484,3,2,House,"26B LOBO MEWS, Toronto, ON"
1598000,13.471,3,3,House,"1 WINSLOW ST, Toronto, ON"
1949000,9.139,4,4,House,"30 BARFIELD AVE, Toronto, ON"
1125000,10.589,4,3,House,"18 AYLESFORD DR, Toronto, ON"
699000,11.081,2,1,Condo,"#2903 -2181 YONGE ST, Toronto, ON"
629999,11.217,2,1,Condo,"#1005 -101 ERSKINE AVE, Toronto, ON"
499000,13.298,3,1,Condo,"#702 -1665 VICTORIA PARK AVE, Toronto, ON"
799000,6.414,2,2,Condo,"#1026 -1 SHAW ST, Toronto, ON"
499900,6.156,1,1,Condo,"#2109 -30 ORDNANCE ST, Toronto, ON"
679999,6.509,2,1,Condo,"#711 -135 EAST LIBERTY ST, Toronto, ON"
999900,2.85,2,2,Condo,"#623 -50 POWER ST, Toronto, ON"
499000,9.144,2,1,Condo,"#420 -170 SUDBURY ST, Toronto, ON"
1369000,3.784,2,2,House,"246 ONTARIO ST, Toronto, ON"
449000,4.325,0,1,Condo,"#1605 -251 JARVIS ST, Toronto, ON"
975000,10.381,2,2,Condo,"#6 -473 DUPONT ST, Toronto, ON"
899888,8.517,2,2,Condo,"#4702 -45 CHARLES ST E, Toronto, ON"
999000,9.907,7,4,House,"704 DUFFERIN ST, Toronto, ON"
688000,5.363,2,1,Condo,"#3805 -21 CARLTON ST, Toronto, ON"
799000,3.021,2,2,House,"5 DEFRIES ST, Toronto, ON"
699900,5.734,2,1,Condo,"#618 -438 RICHMOND ST W, Toronto, ON"
550000,13.815,2,2,Condo,"#210 -1808 ST CLAIR AVE W, Toronto, ON"
3250000,19.263,5,5,House,"45 HERNE HILL, Toronto, ON"
4950000,18.079,5,7,House,"12 BEARWOOD DR, Toronto, ON"
2793000,19.867,4,5,House,"26 MATANE CRT, Toronto, ON"
765000,13.574,3,2,Condo,"#306 -11 SUPERIOR AVE, Toronto, ON"
849900,13.3,2,2,Condo,"#2426 -165 LEGION RD N, Toronto, ON"
678000,30.042,2,1,Condo,"#215 -2433 DUFFERIN ST, Toronto, ON"
899000,35.014,4,4,House,"37 SERGIO MARCHI ST, Toronto, ON"
2999000,12.806,3,3,Condo,"#3501 -1 PALACE PIER CRT, Toronto, ON"
739900,6.835,2,2,Condo,"#1010 -286 MAIN ST, Toronto, ON"
999000,2.09,2,2,Condo,"#1111 -30 BASEBALL PL, Toronto, ON"
449900,13.693,1,1,Condo,"#213 -10 MENDELSSOHN ST, Toronto, ON"
899900,9.321,3,3,House,"40 LEROY AVE, Toronto, ON"
795000,13.616,3,4,Condo,"##10 -686 WARDEN AVE, Toronto, ON"
459990,1.972,1,1,Condo,"#903 -32 TROLLEY CRES, Toronto, ON"
760000,4.092,2,1,Condo,"#3506 -10 NAVY WHARF CRT, Toronto, ON"
3900000,5.176,4,3,Condo,"#4302 -224 KING ST W, Toronto, ON"
1300000,27.673,5,2,House,"21 RONDALE BLVD, Toronto, ON"
1850,11.15,1,1,Condo,"#2 -679 DOVERCOURT RD, Toronto, ON"
659000,1.769,1,1,Condo,"#SPH23 -1 EDGEWATER DR, Toronto, ON"
459000,4.694,0,1,Condo,"#2110 -125 BLUE JAYS WAY, Toronto, ON"
948000,8.58,2,2,House,"82 ST NICHOLAS ST, Toronto, ON"
669900,3.381,2,1,Condo,"#3209 -65 BREMNER BLVD, Toronto, ON"
750000,2.067,2,1,Condo,"#1707 -15 LOWER JARVIS ST, Toronto, ON"
2759000,8.757,2,2,Condo,"#505 -25 SCRIVENER SQ, Toronto, ON"
599000,5.253,1,1,Condo,"#4115 -85 WOOD ST, Toronto, ON"
1150000,9.327,2,2,Condo,"#504 -106 DOVERCOURT RD, Toronto, ON"
650000,8.142,2,1,Condo,"#1912 -85 BLOOR ST E, Toronto, ON"
1898800,4.43,8,5,House,"483 ONTARIO ST, Toronto, ON"
2400,13.756,2,1,Condo,"#1 -346 NORTHCLIFFE BLVD, Toronto, ON"
1169000,11.846,3,2,Condo,"#101 -70 ELMSTHORPE AVE, Toronto, ON"
594900,1.056,1,1,Condo,"#1305 -70 DISTILLERY LANE E, Toronto, ON"
869900,4.999,2,2,Condo,"#1218 -585 BLOOR ST E, Toronto, ON"
899900,20.715,4,2,Condo,"#14 -150 LONG BRANCH AVE, Toronto, ON"
1225000,15.181,4,3,House,"10 INNES AVE, Toronto, ON"
694900,12.424,2,1,Condo,"#4106 -20 SHORE BREEZE DR, Toronto, ON"
3400,13.172,2,2,Condo,"#2 -51 MCMURRAY AVE, Toronto, ON"
799999,14.107,2,2,Condo,"#623 -1787 ST. CLAIR AVE W, Toronto, ON"
649900,18.527,2,2,Condo,"#527 -5 MABELLE AVE, Toronto, ON"
850000,15.97,2,2,Condo,"#1004 -1 LOMOND DR, Toronto, ON"
459000,10.455,1,1,Condo,"#2115 -1928 LAKE SHORE BLVD W, Toronto, ON"
559000,10.455,2,2,Condo,"#2901 -1928 LAKE SHORE BLVD W, Toronto, ON"
2199000,13.89,4,4,House,"53 HARSHAW AVE, Toronto, ON"
1850000,11.851,4,3,House,"562 INDIAN RD, Toronto, ON"
999000,20.873,3,1,House,"17 THIRTY THIRD ST, Toronto, ON"
579990,12.607,1,1,Condo,"#2903 -2230 LAKE SHORE BLVD W, Toronto, ON"
529900,8.537,1,1,Condo,"#733 -10 LAIDLAW ST, Toronto, ON"
1880000,8.5,6,3,House,"137 SPRINGHURST AVE, Toronto, ON"
