Price,Address,Beds,Baths,Type,Link
"$699,900","#618 -438 RICHMOND ST W, Toronto, ON",2 bed,1 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$9,500,000","4 CLUNY AVE, Toronto, ON",4 bed,5 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$550,000","#210 -1808 ST CLAIR AVE W, Toronto, ON",2 bed,2 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$3,250,000","45 HERNE HILL, Toronto, ON",5 bed,5 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$4,950,000","12 BEARWOOD DR, Toronto, ON",5 bed,7 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$2,793,000","26 MATANE CRT, Toronto, ON",4 bed,5 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$765,000","#306 -11 SUPERIOR AVE, Toronto, ON",3 bed,2 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$849,900","#2426 -165 LEGION RD N, Toronto, ON",2 bed,2 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$678,000","#215 -2433 DUFFERIN ST, Toronto, ON",2 bed,1 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$899,000","37 SERGIO MARCHI ST, Toronto, ON",4 bed,4 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$2,999,000","#3501 -1 PALACE PIER CRT, Toronto, ON",3 bed,3 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$739,900","#1010 -286 MAIN ST, Toronto, ON",2 bed,2 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$999,000","#1111 -30 BASEBALL PL, Toronto, ON",2 bed,2 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$449,900","#213 -10 MENDELSSOHN ST, Toronto, ON",1 bed,1 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$899,900","40 LEROY AVE, Toronto, ON",3 bed,3 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$795,000","##10 -686 WARDEN AVE, Toronto, ON",3 bed,4 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$459,990","#903 -32 TROLLEY CRES, Toronto, ON",1 bed,1 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$760,000","#3506 -10 NAVY WHARF CRT, Toronto, ON",2 bed,1 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$3,900,000","#4302 -224 KING ST W, Toronto, ON",4 bed,3 bath,Condo,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
"$1,300,000","21 RONDALE BLVD, Toronto, ON",5 bed,2 bath,House,https://www.remax.ca/on/toronto-real-estate/21-rondale-blvd-wp_idm73000004-26873157-lst
